 =============================================================================
 NUMERO DE PARTICULAS
         216
 CONCENTRACION REDUCIDA
  0.100000001    
 NUMERO DE CICLOS
      300000
 MONITOREO EN PANTALLA (CADA CAUNTOS CICLOS)
        1000
 NUMERO DE PASOS PARA GUARDAR CONFIGURACION
         100
 FRECUENCIA DE CORRECCION EN DESPLAZAMIENTO
         100
 =============================================================================
 LONGITUD DE LA CELDA:   12.9266090    
 CONFIGURACION INICIAL LISTA
 ENERGIA DE LA CONFIGURACION INICIAL:  -45.0000000    
 Archivo Terma01.dat
 =============================================================================
 |CONFIG||ENERGIA PARTICULA||RATIO||DR|
       96000 -0.560185194      0.955601871       2.72092372E-02
       97000 -0.541666687      0.954120398       2.96993144E-02
       98000 -0.560185194      0.950787008       3.58296186E-02
       99000 -0.518518507      0.940925896       3.53839733E-02
      100000 -0.634259284      0.948287010       2.86048446E-02
 Configuracion CEq
      101000 -0.634259284      0.944953680       3.12226433E-02
      102000 -0.546296299      0.951805532       3.40800099E-02
      103000 -0.541666687      0.947453678       3.04507781E-02
      104000 -0.550925910      0.949629605       3.00720315E-02
      105000 -0.550925910      0.948796272       2.96979956E-02
      106000 -0.560185194      0.952175915       2.93286163E-02
      107000 -0.569444418      0.950648129       3.20126489E-02
      108000 -0.495370358      0.953379631       3.16144750E-02
      109000 -0.601851881      0.951759279       3.12212538E-02
      110000 -0.587962985      0.948935211       2.78964583E-02
      111000 -0.532407403      0.947731495       3.04494314E-02
      112000 -0.574074090      0.951435208       3.32360379E-02
      113000 -0.564814806      0.953796268       3.28226499E-02
      114000 -0.425925940      0.953101873       3.58264484E-02
      115000 -0.495370358      0.944583356       3.53808440E-02
      116000 -0.495370358      0.952592611       3.49407829E-02
      117000 -0.523148119      0.941898167       3.45061943E-02
      118000 -0.439814806      0.950416684       3.76640595E-02
      119000 -0.467592597      0.955555558       3.36531587E-02
      120000 -0.523148119      0.950277805       3.32345776E-02
      121000 -0.587962985      0.948657393       2.96953805E-02
      122000 -0.523148119      0.955601871       3.24129872E-02
      123000 -0.546296299      0.948657393       3.20098363E-02
      124000 -0.513888896      0.952361107       3.16116996E-02
      125000 -0.527777791      0.945092618       3.12185176E-02
      126000 -0.620370388      0.947499990       2.78940089E-02
      127000 -0.652777791      0.951574087       2.75470633E-02
      128000 -0.550925910      0.957962990       2.72044335E-02
      129000 -0.597222209      0.949629605       2.68660653E-02
      130000 -0.569444418      0.954074085       2.93247346E-02
      131000 -0.550925910      0.953888893       3.20084170E-02
      132000 -0.587962985      0.948518515       2.85997931E-02
      133000 -0.597222209      0.942268491       3.12171299E-02
      134000 -0.518518507      0.949490726       3.08288503E-02
      135000 -0.513888896      0.941157401       3.04453988E-02
      136000 -0.560185194      0.949814796       3.00667230E-02
      137000 -0.652777791      0.947037041       2.96927541E-02
      138000 -0.513888896      0.948425949       2.93234345E-02
      139000 -0.523148119      0.949675918       2.89587099E-02
      140000 -0.550925910      0.948009253       3.16088907E-02
      141000 -0.532407403      0.951250017       3.12157385E-02
      142000 -0.611111104      0.944027781       2.78915334E-02
      143000 -0.578703701      0.948796272       3.04440521E-02
      144000 -0.532407403      0.951388896       3.32301669E-02
      145000 -0.500000000      0.952546299       3.62712555E-02
      146000 -0.425925940      0.955648124       3.95906568E-02
      147000 -0.449074060      0.944120347       3.90982293E-02
      148000 -0.458333343      0.956666648       3.49345952E-02
      149000 -0.546296299      0.952222228       3.45000848E-02
      150000 -0.574074090      0.951620400       3.40709761E-02
      151000 -0.523148119      0.954305530       3.36472020E-02
      152000 -0.518518507      0.951342583       3.32287028E-02
      153000 -0.555555582      0.949953675       2.96901260E-02
      154000 -0.546296299      0.949675918       3.24072428E-02
      155000 -0.523148119      0.942268491       3.53730172E-02
      156000 -0.518518507      0.950509250       3.49330418E-02
      157000 -0.467592597      0.945277750       3.44985500E-02
      158000 -0.537037015      0.949027777       3.40694562E-02
      159000 -0.495370358      0.954629600       3.36456969E-02
      160000 -0.458333343      0.949768543       3.67248170E-02
      161000 -0.398148149      0.951666653       4.00857218E-02
      162000 -0.537037015      0.950370371       3.58169340E-02
      163000 -0.476851851      0.953379631       3.53714414E-02
      164000 -0.597222209      0.950787008       3.16046812E-02
      165000 -0.569444418      0.957962990       3.12115829E-02
      166000 -0.513888896      0.946574092       3.08233742E-02
      167000 -0.481481493      0.949814796       3.04399952E-02
      168000 -0.513888896      0.947407424       3.32257338E-02
      169000 -0.495370358      0.950462937       3.62664126E-02
      170000 -0.481481493      0.946250021       3.24043483E-02
      171000 -0.509259284      0.949675918       3.53698619E-02
      172000 -0.425925940      0.954537034       3.86067703E-02
      173000 -0.583333313      0.948055565       3.12101934E-02
      174000 -0.537037015      0.952037036       3.40664238E-02
      175000 -0.495370358      0.947083354       3.36427093E-02
      176000 -0.518518507      0.951250017       3.00600473E-02
      177000 -0.523148119      0.953287065       3.62648107E-02
      178000 -0.476851851      0.953287065       3.24029215E-02
      179000 -0.490740746      0.948240757       2.89522856E-02
      180000 -0.504629612      0.950833321       3.49284001E-02
      181000 -0.500000000      0.948333323       3.44939679E-02
      182000 -0.500000000      0.953472197       3.40649299E-02
      183000 -0.453703701      0.948703706       3.36412303E-02
      184000 -0.523148119      0.945787013       3.32228057E-02
      185000 -0.458333343      0.951018512       3.62632200E-02
      186000 -0.490740746      0.954120398       3.58121768E-02
      187000 -0.467592597      0.951388896       3.53667438E-02
      188000 -0.500000000      0.949999988       3.16004865E-02
      189000 -0.490740746      0.950972199       3.81232202E-02
      190000 -0.537037015      0.944814801       3.40634324E-02
      191000 -0.513888896      0.952037036       3.71807776E-02
      192000 -0.550925910      0.939814806       3.00574061E-02
      193000 -0.462962955      0.943472207       3.62616219E-02
      194000 -0.476851851      0.946620345       3.58106010E-02
      195000 -0.458333343      0.949814796       3.19970772E-02
      196000 -0.504629612      0.949490726       3.49253193E-02
      197000 -0.439814806      0.952685177       4.21343334E-02
      198000 -0.430555552      0.948518515       3.76473852E-02
      199000 -0.509259284      0.951111138       3.71791273E-02
      200000 -0.550925910      0.949212968       3.32198702E-02
      201000 -0.518518507      0.943148136       3.62600163E-02
      202000 -0.486111104      0.950694442       3.58090140E-02
      203000 -0.500000000      0.950509250       3.90861072E-02
      204000 -0.462962955      0.946990728       3.15977000E-02
      205000 -0.444444448      0.951666653       3.81198600E-02
      206000 -0.527777791      0.950138867       3.40604261E-02
      207000 -0.490740746      0.949583352       3.36367823E-02
      208000 -0.513888896      0.949398160       3.32184099E-02
      209000 -0.476851851      0.956805527       3.28052454E-02
      210000 -0.439814806      0.948472202       3.58074419E-02
      211000 -0.541666687      0.946111083       3.53620723E-02
      212000 -0.518518507      0.950092614       3.49222459E-02
      213000 -0.513888896      0.948148131       3.44878808E-02
      214000 -0.495370358      0.948287010       3.40589173E-02
      215000 -0.486111104      0.957083344       3.36352922E-02
      216000 -0.500000000      0.951666653       3.67134623E-02
      217000 -0.500000000      0.950509250       3.28037888E-02
      218000 -0.472222209      0.953750014       3.58058587E-02
      219000 -0.504629612      0.949259281       3.19928415E-02
      220000 -0.476851851      0.953796268       3.49206924E-02
      221000 -0.546296299      0.952731490       3.12019400E-02
      222000 -0.527777791      0.951620400       3.08138486E-02
      223000 -0.527777791      0.953842580       3.36338058E-02
      224000 -0.523148119      0.943611085       3.00520938E-02
      225000 -0.490740746      0.946666658       3.28023396E-02
      226000 -0.527777791      0.954999983       3.23943458E-02
      227000 -0.583333313      0.952083349       2.89446283E-02
      228000 -0.574074090      0.952129602       3.15935202E-02
      229000 -0.518518507      0.950925946       3.12005635E-02
      230000 -0.592592597      0.949120343       3.08124963E-02
      231000 -0.634259284      0.957037032       2.75312290E-02
      232000 -0.564814806      0.943148136       3.00507732E-02
      233000 -0.574074090      0.952268541       3.28008980E-02
      234000 -0.564814806      0.953148127       3.23929191E-02
      235000 -0.546296299      0.945324063       2.89433450E-02
      236000 -0.537037015      0.948333323       2.85833515E-02
      237000 -0.564814806      0.946944416       2.82278396E-02
      238000 -0.606481493      0.945138872       2.78767422E-02
      239000 -0.495370358      0.952499986       3.36308442E-02
      240000 -0.490740746      0.953842580       3.67086083E-02
      241000 -0.513888896      0.954444468       3.62520255E-02
      242000 -0.449074060      0.945277750       3.58011201E-02
      243000 -0.518518507      0.943101823       3.53558287E-02
      244000 -0.472222209      0.950925946       3.49160768E-02
      245000 -0.523148119      0.949675918       3.11978143E-02
      246000 -0.518518507      0.948101878       3.08097769E-02
      247000 -0.578703701      0.955462992       3.04265693E-02
      248000 -0.500000000      0.941712976       3.67069878E-02
      249000 -0.481481493      0.949814796       3.27980109E-02
      250000 -0.564814806      0.943472207       2.93053035E-02
      251000 -0.449074060      0.950787008       3.90757769E-02
      252000 -0.495370358      0.949722230       3.49145457E-02
      253000 -0.537037015      0.952916682       3.11964471E-02
      254000 -0.495370358      0.951111138       3.40514183E-02
      255000 -0.412037045      0.964166641       3.36278863E-02
      256000 -0.430555552      0.950925946       4.05690931E-02
      257000 -0.476851851      0.948379636       3.27965580E-02
      258000 -0.476851851      0.942592621       3.57979648E-02
      259000 -0.462962955      0.953333318       3.53527144E-02
      260000 -0.486111104      0.951805532       3.49130072E-02
      261000 -0.486111104      0.948981464       3.11950706E-02
      262000 -0.453703701      0.949351847       3.40499133E-02
      263000 -0.518518507      0.959629655       3.36264074E-02
      264000 -0.527777791      0.944212973       3.67037579E-02
      265000 -0.495370358      0.948194444       3.27951163E-02
      266000 -0.430555552      0.957638860       3.57963927E-02
      267000 -0.472222209      0.944861114       3.53511609E-02
      268000 -0.467592597      0.949490726       3.49114686E-02
      269000 -0.574074090      0.944999993       3.11936978E-02
      270000 -0.555555582      0.948750019       2.78718378E-02
      271000 -0.541666687      0.958101869       3.04225534E-02
      272000 -0.532407403      0.955462992       3.00441589E-02
      273000 -0.523148119      0.945370376       2.96704713E-02
      274000 -0.592592597      0.941759288       3.23857926E-02
      275000 -0.486111104      0.956157386       3.19829769E-02
      276000 -0.472222209      0.950462937       3.85846533E-02
      277000 -0.486111104      0.945092618       3.44757140E-02
      278000 -0.527777791      0.953564823       3.40469070E-02
      279000 -0.513888896      0.948101878       3.36234346E-02
      280000 -0.537037015      0.943425953       3.32052261E-02
      281000 -0.509259284      0.944259286       3.27922180E-02
      282000 -0.486111104      0.951805532       3.57932262E-02
      283000 -0.537037015      0.944629610       3.19815539E-02
      284000 -0.564814806      0.952407420       3.15837674E-02
      285000 -0.560185194      0.951111138       3.11909281E-02
      286000 -0.611111104      0.946712971       3.08029763E-02
      287000 -0.615740716      0.950509250       3.04198526E-02
      288000 -0.476851851      0.949814796       3.32037508E-02
      289000 -0.476851851      0.954583347       3.27907652E-02
      290000 -0.509259284      0.952037036       3.57916392E-02
      291000 -0.509259284      0.955277801       3.53464670E-02
      292000 -0.462962955      0.951620400       3.49068269E-02
      293000 -0.555555582      0.949166656       3.11895497E-02
      294000 -0.518518507      0.943009257       3.08016203E-02
      295000 -0.597222209      0.956527770       3.04185115E-02
      296000 -0.513888896      0.951111138       3.66972685E-02
      297000 -0.532407403      0.949629605       3.62408310E-02
      298000 -0.472222209      0.958611131       3.23814973E-02
      299000 -0.467592597      0.947731495       3.90654393E-02
      300000 -0.513888896      0.958194435       3.49053070E-02
 DONE ALL CONFIGURATIONS
 DONE SAVING CONFIG FINAL
 CLEAR MEMORY
  0.100000001      0.154765531    
 GDR DONE, SAVE
 GDR DONE CALC
 DONE
 ===================================================================
