 =============================================================================
 NUMERO DE PARTICULAS
         216
 CONCENTRACION REDUCIDA
  0.300000012    
 NUMERO DE CICLOS
      300000
 MONITOREO EN PANTALLA (CADA CAUNTOS CICLOS)
        1000
 NUMERO DE PASOS PARA GUARDAR CONFIGURACION
         100
 FRECUENCIA DE CORRECCION EN DESPLAZAMIENTO
         100
 =============================================================================
 LONGITUD DE LA CELDA:   8.96281052    
 CONFIGURACION INICIAL LISTA
 ENERGIA DE LA CONFIGURACION INICIAL:  -252.702393    
 Archivo Terma03.dat
 =============================================================================
 |CONFIG||ENERGIA PARTICULA||RATIO||DR|
        1000  -2.36485720      0.500416696      0.133340284    
        2000  -2.46496224      0.514907420      0.131681800    
        3000  -2.56506777      0.492037028      0.117658809    
        4000  -2.42742634      0.507407427      0.128426462    
        5000  -2.65264773      0.504953682      0.126829103    
        6000  -2.65890050      0.477592587      0.113322906    
        7000  -2.60886812      0.506018519      0.123693764    
        8000  -2.65266299      0.491064817      0.110521443    
        9000  -2.59010172      0.503842592      0.120635919    
       10000  -2.62764597      0.502638876      0.119135469    
       11000  -2.67144489      0.493518531      0.117653683    
       12000  -2.55257726      0.504444420      0.128420874    
       13000  -2.74651480      0.513425946      0.114745155    
       14000  -2.40865541      0.536064804      0.113317959    
       15000  -2.66515946      0.497685194      0.111908518    
       16000  -2.55880094      0.486481488      0.122149929    
       17000  -2.68394303      0.507592618      0.120630637    
       18000  -2.70271420      0.501342595      0.119130239    
       19000  -2.76529241      0.475555569      0.117648520    
       20000  -2.69021058      0.506944418      0.116185218    
       21000  -2.55256557      0.495833337      0.114740111    
       22000  -2.46496177      0.518981457      0.125240654    
       23000  -2.60260558      0.507685184      0.123682909    
       24000  -2.82783604      0.492500007      0.110511735    
       25000  -3.00302315      0.507546306      0.109137200    
       26000  -2.74024820      0.524999976      0.107779764    
       27000  -2.61512280      0.483194441      0.117643319    
       28000  -2.68394876      0.518611133      0.116180070    
       29000  -2.57133293      0.496342599      0.114735030    
       30000  -2.80905581      0.481481493      0.113307968    
       31000  -2.57132173      0.494259268      0.111898653    
       32000  -2.70271015      0.495185196      0.110506862    
       33000  -2.44620872      0.498935193      0.120620005    
       34000  -2.67768598      0.505833328      0.119119741    
       35000  -2.53379965      0.493148148      0.117638141    
